countries,2022-2023(Apr-Dec),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
YEMEN REPUBLC,1.09,1.59,1.41,1.49,1.34,1.66,2.21,1.23,1.57,1.56,1.52,1.22,1.1,1.05,0.75,0.86,0.49,0.59,0.35,0.46,0.4,0.85,0.43,0.49,0.37,0.31
CONGO D. REP.,0.31,0.4,0.37,0.74,0.48,0.65,0.63,0.27,0.33,0.08,0.22,,0.09,,,0.09,0.0,,0.01,,,0.02,,0.0,,0.0
ZAMBIA,0.23,0.17,0.14,0.16,0.6,0.51,0.49,0.24,0.08,0.15,0.17,0.16,0.05,0.06,0.06,0.02,0.05,0.07,0.12,0.09,0.25,0.22,0.36,0.06,0.02,0.03
ZIMBABWE,0.05,0.03,0.08,0.16,0.0,0.08,0.0,0.1,0.09,0.03,,0.05,0.0,0.0,0.0,0.01,0.0,,,,0.76,0.0,0.0,0.0,0.03,0.0
ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,
MONACO,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,
MYANMAR,0.17,0.35,0.37,0.49,0.38,0.78,0.66,0.66,0.77,0.86,1.14,0.95,0.4,0.34,0.3,0.18,0.12,0.13,0.08,0.15,0.14,0.04,0.71,0.24,,0.16
MEXICO,0.59,0.38,0.14,0.07,0.1,0.45,0.11,0.29,0.86,0.85,0.62,2.03,2.1,1.76,1.19,0.05,0.0,0.01,0.0,0.01,0.17,0.02,0.0,0.0,,0.06
MAURITANIA,0.44,0.43,0.24,0.33,0.04,0.21,0.16,0.03,,0.02,,0.01,0.02,,0.03,0.0,,0.0,0.0,0.0,0.04,,,,0.0,
CANADA,1.75,1.39,1.14,1.2,1.31,0.46,0.48,0.57,0.73,0.86,0.41,0.4,0.33,0.24,0.89,0.4,0.45,0.35,0.45,0.42,0.3,0.39,0.07,0.1,0.1,0.05
CAPE VERDE IS,,0.0,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,
CAYMAN IS,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,,,,,,,,,,
CHAD,0.08,0.12,0.08,0.07,0.04,0.09,0.05,0.02,0.02,0.02,0.02,0.01,0.0,,0.0,0.0,0.1,0.01,0.08,0.0,,0.0,0.02,,,
CHILE,0.09,0.04,0.16,0.18,0.49,0.17,0.1,0.01,0.0,0.01,0.0,0.0,0.02,0.0,0.0,,0.02,0.0,0.05,0.0,0.0,0.02,0.05,0.01,0.02,0.04
TAIWAN,0.25,0.15,0.29,0.1,0.15,0.12,0.06,0.11,0.13,0.1,0.06,0.04,0.04,0.04,0.01,0.01,0.0,,0.01,0.0,0.02,0.01,0.0,,0.02,
CHINA P RP,3.48,1.71,0.35,0.34,0.14,0.22,0.21,0.1,0.33,0.02,0.07,0.27,1.21,0.57,0.33,0.1,0.07,0.02,0.13,0.03,,0.06,0.0,0.03,0.0,0.02
